2020-04-25 12:57:03.198 +01:00 [Information] Loading Messages from the Following Path(s) ["C:\Users\Wesley\AppData\Roaming\Papercut", "F:\Speedy Code\Year%202%20Project\rental_server\papercut\", "F:\Speedy Code\Year%202%20Project\rental_server\papercut\Incoming"]
2020-04-25 12:57:03.245 +01:00 [Information] Default Message Save Path is Set to "C:\Users\Wesley\AppData\Roaming\Papercut"
2020-04-25 12:57:04.603 +01:00 [Information] Papercut Version 5.5.1+Branch.master.Sha.f4164fe982d25b92ed439472e8c2dc4771a348ff
2020-04-25 12:57:04.604 +01:00 [Information] Attempting to Load Rules from "F:\Speedy Code\Year%202%20Project\rental_server\papercut\rules.json" on AppReady
2020-04-25 12:57:05.119 +01:00 [Information] IPComm Server Ready: Listening for New Connections at "127.0.0.1":37402
2020-04-25 12:57:05.239 +01:00 [Information] Starting Smtp Server on "0.0.0.0":25...
2020-04-25 12:57:07.156 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-25 12:57:07.238 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200425125707225 Account for Vortex Rentals succesfully acba40.eml"
2020-04-25 12:57:07.242 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-25 12:58:45.660 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-25 12:58:45.667 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200425125845662 Account for Vortex Rentals succesfully 182c55.eml"
2020-04-25 12:58:45.667 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-25 12:58:47.716 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-25 12:58:47.723 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200425125847718 Account for Vortex Rentals succesfully 5c903f.eml"
2020-04-25 12:58:47.723 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-25 13:20:53.984 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-25 13:20:53.991 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200425132053986 Account for Vortex Rentals succesfully 2ef098.eml"
2020-04-25 13:20:53.991 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-25 13:21:44.533 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-25 13:21:44.540 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200425132144535 Account for Vortex Rentals succesfully a73ea3.eml"
2020-04-25 13:21:44.540 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-25 13:35:50.124 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-25 13:35:50.131 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200425133550126 Account for Vortex Rentals succesfully ef375d.eml"
2020-04-25 13:35:50.132 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-25 16:18:19.204 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-25 16:18:19.229 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200425161819207 Account for Vortex Rentals succesfully 0536e3.eml"
2020-04-25 16:18:19.230 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-25 16:25:53.095 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-25 16:25:53.103 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200425162553098 Account for Vortex Rentals succesfully eb52cd.eml"
2020-04-25 16:25:53.103 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-25 16:39:17.944 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-25 16:39:17.951 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200425163917947 Account for Vortex Rentals succesfully f289ae.eml"
2020-04-25 16:39:17.952 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-25 16:39:20.000 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-25 16:39:20.006 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200425163920002 Account for Vortex Rentals succesfully f72a6f.eml"
2020-04-25 16:39:20.007 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-25 16:41:57.220 +01:00 [Information] New SMTP connection from "0.0.0.0"
