2020-04-26 14:08:45.013 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426140845009 Account for Vortex Rentals succesfully 956509.eml"
2020-04-26 14:08:45.014 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 14:19:16.043 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 14:19:16.050 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426141916045 Account for Vortex Rentals succesfully c9c3d7.eml"
2020-04-26 14:19:16.050 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 14:19:18.074 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 14:19:18.080 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426141918076 Account for Vortex Rentals succesfully 72a9d2.eml"
2020-04-26 14:19:18.081 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 14:20:36.836 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 14:20:36.843 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426142036838 Account for Vortex Rentals succesfully 8fa070.eml"
2020-04-26 14:20:36.844 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 14:21:45.607 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 14:21:45.613 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426142145609 Account for Vortex Rentals succesfully c7e197.eml"
2020-04-26 14:21:45.614 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 14:26:37.797 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 14:26:37.803 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426142637799 Account for Vortex Rentals succesfully a4888e.eml"
2020-04-26 14:26:37.804 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 14:30:42.002 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 14:30:42.009 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426143042004 You have Succesfully Created a Ticket 8e7948.eml"
2020-04-26 14:30:42.009 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 14:31:15.727 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 14:31:15.734 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426143115729 Your Ticket has been closed 26da14.eml"
2020-04-26 14:31:15.734 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 14:31:32.580 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 14:31:32.587 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426143132582 You have Succesfully Created a Ticket 563d58.eml"
2020-04-26 14:31:32.587 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 14:56:44.691 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 14:56:44.717 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426145644694 Account for Vortex Rentals succesfully fa7cc6.eml"
2020-04-26 14:56:44.718 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 16:25:19.829 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 16:25:19.855 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426162519832 Account for Vortex Rentals succesfully a4c32e.eml"
2020-04-26 16:25:19.856 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 16:25:21.881 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 16:25:21.889 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426162521883 Account for Vortex Rentals succesfully 0c32e3.eml"
2020-04-26 16:25:21.890 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 16:25:23.919 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 16:25:23.925 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426162523921 Account for Vortex Rentals succesfully 60b1d5.eml"
2020-04-26 16:25:23.926 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 17:19:20.833 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 17:19:20.859 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426171920836 Account for Vortex Rentals succesfully 66c5ee.eml"
2020-04-26 17:19:20.860 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 17:19:55.764 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 17:19:55.770 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426171955766 You have Succesfully Created a Ticket c3c7d1.eml"
2020-04-26 17:19:55.771 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 17:26:23.134 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 17:26:23.141 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426172623137 Account for Vortex Rentals succesfully a25df4.eml"
